country,state,date,confirmed,deaths,recovered
Afghanistan,N/A,2/24/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,2/25/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,2/26/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,2/27/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,2/28/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,2/29/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/1/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/2/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/3/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/4/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/5/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/6/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/7/2020 12:00:00 AM,1,0,0
Afghanistan,N/A,3/8/2020 12:00:00 AM,4,0,0
Afghanistan,N/A,3/9/2020 12:00:00 AM,4,0,0
Afghanistan,N/A,3/10/2020 12:00:00 AM,5,0,0
Afghanistan,N/A,3/11/2020 12:00:00 AM,7,0,0
Afghanistan,N/A,3/12/2020 12:00:00 AM,7,0,0
Afghanistan,N/A,3/13/2020 12:00:00 AM,7,0,0
Afghanistan,N/A,3/14/2020 12:00:00 AM,11,0,0
Afghanistan,N/A,3/15/2020 12:00:00 AM,16,0,0
Afghanistan,N/A,3/16/2020 12:00:00 AM,21,0,1
Afghanistan,N/A,3/17/2020 12:00:00 AM,22,0,1
Afghanistan,N/A,3/18/2020 12:00:00 AM,22,0,1
Albania,N/A,3/9/2020 12:00:00 AM,2,0,0
Albania,N/A,3/10/2020 12:00:00 AM,10,0,0
Albania,N/A,3/11/2020 12:00:00 AM,12,1,0
Albania,N/A,3/12/2020 12:00:00 AM,23,1,0
Albania,N/A,3/13/2020 12:00:00 AM,33,1,0
Albania,N/A,3/14/2020 12:00:00 AM,38,1,0
Albania,N/A,3/15/2020 12:00:00 AM,42,1,0
Albania,N/A,3/16/2020 12:00:00 AM,51,1,0
Albania,N/A,3/17/2020 12:00:00 AM,55,1,0
Albania,N/A,3/18/2020 12:00:00 AM,59,2,0
Algeria,N/A,2/25/2020 12:00:00 AM,1,0,0
Algeria,N/A,2/26/2020 12:00:00 AM,1,0,0
Algeria,N/A,2/27/2020 12:00:00 AM,1,0,0
Algeria,N/A,2/28/2020 12:00:00 AM,1,0,0
Algeria,N/A,2/29/2020 12:00:00 AM,1,0,0
Algeria,N/A,3/1/2020 12:00:00 AM,1,0,0
Algeria,N/A,3/2/2020 12:00:00 AM,3,0,0
Algeria,N/A,3/3/2020 12:00:00 AM,5,0,0
Algeria,N/A,3/4/2020 12:00:00 AM,12,0,0
Algeria,N/A,3/5/2020 12:00:00 AM,12,0,0
Algeria,N/A,3/6/2020 12:00:00 AM,17,0,0
Algeria,N/A,3/7/2020 12:00:00 AM,17,0,0
Algeria,N/A,3/8/2020 12:00:00 AM,19,0,0
Algeria,N/A,3/9/2020 12:00:00 AM,20,0,0
Algeria,N/A,3/10/2020 12:00:00 AM,20,0,0
Algeria,N/A,3/11/2020 12:00:00 AM,20,0,0
Algeria,N/A,3/12/2020 12:00:00 AM,24,1,8
Algeria,N/A,3/13/2020 12:00:00 AM,26,2,8
Algeria,N/A,3/14/2020 12:00:00 AM,37,3,12
Algeria,N/A,3/15/2020 12:00:00 AM,48,4,12
Algeria,N/A,3/16/2020 12:00:00 AM,54,4,12
Algeria,N/A,3/17/2020 12:00:00 AM,60,4,12
Algeria,N/A,3/18/2020 12:00:00 AM,74,7,12
Andorra,N/A,3/2/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/3/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/4/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/5/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/6/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/7/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/8/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/9/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/10/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/11/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/12/2020 12:00:00 AM,1,0,1
Andorra,N/A,3/13/2020 12:00:00 AM,1,0,0
Andorra,N/A,3/14/2020 12:00:00 AM,1,0,1
Andorra,N/A,3/15/2020 12:00:00 AM,1,0,1
Andorra,N/A,3/16/2020 12:00:00 AM,2,0,1
Andorra,N/A,3/17/2020 12:00:00 AM,39,0,1
Andorra,N/A,3/18/2020 12:00:00 AM,39,0,1
Antigua and Barbuda,N/A,3/13/2020 12:00:00 AM,1,0,0
Antigua and Barbuda,N/A,3/14/2020 12:00:00 AM,1,0,0
Antigua and Barbuda,N/A,3/15/2020 12:00:00 AM,1,0,0
Antigua and Barbuda,N/A,3/16/2020 12:00:00 AM,1,0,0
Antigua and Barbuda,N/A,3/17/2020 12:00:00 AM,1,0,0
Antigua and Barbuda,N/A,3/18/2020 12:00:00 AM,1,0,0
Argentina,N/A,3/3/2020 12:00:00 AM,1,0,0
Argentina,N/A,3/4/2020 12:00:00 AM,1,0,0
Argentina,N/A,3/5/2020 12:00:00 AM,1,0,0
Argentina,N/A,3/6/2020 12:00:00 AM,2,0,0
Argentina,N/A,3/7/2020 12:00:00 AM,8,0,0
Argentina,N/A,3/8/2020 12:00:00 AM,12,1,0
Argentina,N/A,3/9/2020 12:00:00 AM,12,1,0
Argentina,N/A,3/10/2020 12:00:00 AM,17,1,0
Argentina,N/A,3/11/2020 12:00:00 AM,19,1,0
Argentina,N/A,3/12/2020 12:00:00 AM,19,1,0
Argentina,N/A,3/13/2020 12:00:00 AM,31,2,0
Argentina,N/A,3/14/2020 12:00:00 AM,34,2,1
Argentina,N/A,3/15/2020 12:00:00 AM,45,2,1
Argentina,N/A,3/16/2020 12:00:00 AM,56,2,1
Argentina,N/A,3/17/2020 12:00:00 AM,68,2,3
Argentina,N/A,3/18/2020 12:00:00 AM,79,2,3
Armenia,N/A,3/1/2020 12:00:00 AM,1,0,0
Armenia,N/A,3/2/2020 12:00:00 AM,1,0,0
Armenia,N/A,3/3/2020 12:00:00 AM,1,0,0
